Mass,Radius,Lambda,K2,C,Id
0.0001036424903411219,49.999,1.0472000054785028e+16,4.216830386918279e-12,3.0603637392770846e-06,1874
0.00010907882567270827,49.999,9179496583459254.0,4.772966997608694e-12,3.2208882834922938e-06,1874
0.00011470989291828838,49.999,4.039425733442946e+16,2.701414942854278e-11,3.3871628872294715e-06,1874
0.00012054197677251186,49.999,-2.6218325842247844e+16,-2.2467968215853958e-11,3.5593731254545873e-06,1874
0.00012660188059152594,49.999,6.520433163286576e+16,7.140761538998761e-11,3.7383104498104377e-06,1874
0.0001329412390149516,49.999,8671421127713399.0,1.2124286405973062e-11,3.925499532063077e-06,1874
0.00013963633060276568,49.999,-7.56170296223816e+16,-1.3516960686982901e-10,4.123192731628697e-06,1874
0.00014674432525253896,49.999,-1.012372944451006e+16,-2.3196069785366374e-11,4.333078165812545e-06,1874
0.00015429209770574328,49.999,-2.514019727094186e+16,-7.402090617317394e-11,4.555949394128989e-06,1874
0.00016230575395525387,49.999,-7.849142987922293e+16,-2.9768648702006107e-10,4.792577276422385e-06,1874
0.0001708091205382002,49.999,2.6955643537951744e+16,1.319691093961008e-10,5.043665364585626e-06,1874
0.0001798187562151381,49.999,-1.3836408831278676e+16,-8.759223964695123e-11,5.309702607024e-06,1874
0.00018933530902392876,49.999,4.418317524457656e+16,3.6197809138769903e-10,5.590708139051272e-06,1874
0.0001993289026489623,49.999,-7648940826442510.0,-8.104383408212835e-11,5.885799770432003e-06,1874
0.00020971500359971847,49.999,1.641823409359012e+17,2.2425454460720213e-09,6.1924813895010705e-06,1874
0.00022032251655239605,49.999,1.0394533292192578e+16,1.8170492985019562e-10,6.505700879861062e-06,1874
0.0002311592355541836,49.999,-8330752338954547.0,-1.851432017448427e-10,6.825688384760362e-06,1874
0.00024270378180215796,49.999,4.279062610136239e+16,1.2133850981715813e-09,7.166576669164025e-06,1874
0.00025550247004880436,49.999,1.0725016175964512e+16,3.9322468128038535e-10,7.54449735875216e-06,1874
0.000269607317873373,49.999,8756286992902290.0,4.1999649433635847e-10,7.960986432762804e-06,1874
0.0002841352383770615,49.999,2.617993388896965e+16,1.632530615398409e-09,8.389968030660089e-06,1874
0.00029842658443704945,49.999,1.055858497605907e+16,8.415124767445969e-10,8.811964039473612e-06,1874
